software,counts,document
TrueFidelity,6,2
ModelRunner,6,2
ClusPro,6,1
Xmipp,6,2
MAXDo,6,1
AssemblyNet,6,2
caroSegDeep,6,2
eMPRess,6,2
Weka,6,3
Google Earth,6,1
Ilastik,6,1
MorphoNet,6,1
MITAB,6,1
NumPy,6,1
MDAnalysis,6,1
BayesRC+,6,1
scTDA,6,1
CellDesigner,6,1
NuSeT,6,1
Knime,6,2
ilastik,6,1
gen_params,6,1
application,6,1
SilexPorteGreffe,6,2
HADDOCK,5,1
GōMartini,5,1
BorutaPy,5,2
VirSorter,5,1
StructMap,5,1
CamemBERT,5,2
numpy,5,1
EpiNow2,5,2
FastQC,5,2
iQMetrix-CT,5,1
DeepLIFT,5,2
WND-CHARM,5,2
BioComputing,5,2
MedInria,5,1
MODELLER,5,1
Scipy,5,1
Github,5,1
FlexFlux,5,2
VOSviewer,5,1
VMD,5,1
dVAE,5,1
CUDA,5,2
export,5,1
SeroPred,5,1
STracking library,5,1
Dynamo,5,1
MiRDeep2,5,1
miRsim,5,1
MetaboHUB,5,1
Cufflinks,5,1
SyGN,5,1
BayesCπ,5,1
FVSOOMM,5,1
NetworkX,5,2
CRAN,5,1
VIBRANT,5,1
Moodle,5,2
CompleteSeq,5,1
adaptivetau,5,1
SampEn,5,2
COMSOL,5,1
FlorSys,5,1
EMULSION,5,2
Scikit-learn,5,3
program,5,1
SketchOscent,5,1
XGBOOST,5,1
RASA,5,2
STARProtocols,5,2
DIVA,5,1
biopax2cadbiom,5,2
API,5,1
CELLPROFILER,5,1
BCALM,4,2
DeepLesionBrain,4,1
Google Colab,4,1
Abaqus,4,2
SimaPro,4,2
ModelFinder,4,1
ape,4,1
Pafnucy,4,1
Seurat,4,2
GLYCAM,4,1
Data Foundry,4,2
Comprehensive Meta-Analysis,4,2
G4RNA screener,4,1
programs,4,1
SAS,4,2
ProtNAff,4,2
bdmm,4,1
Polyply,4,2
pandas,4,1
NextFlow,4,1
keras,4,2
scipionem,4,1
NAMD,4,1
iOS,4,1
net4pg,4,1
PERMANOVA,4,1
VEGAN,4,1
PlantCLEF,4,1
XGboost,4,1
Ziwig Health,4,1
OpenFace,4,1
Rcpp,4,1
FoldX,4,1
FREALIGN,4,1
Tensorflow,4,1
Scilab,4,2
CINECA,4,1
SENSIPATH,4,1
Clingo,4,2
OrthoDB,4,1
ChimeraX,4,1
OpenPose,4,3
IMGLIB2,4,1
Seek,4,1
k-Wave,4,1
iTOL,4,1
RAxML,4,1
mafComparator,4,2
Scikit-Learn,4,1
vtkMarchingCubes,4,1
SpikeForest,4,1
STICS,4,2
EchoPWC-Net,4,2
iQTree,4,2
NAVISCOPE,4,1
MAFFT,4,1
TiQuant,4,1
Arpeggio,4,1
SoundSignal,4,2
CheckV,4,2
ElNemo,4,1
GTBLUP,4,2
PostgreSQL,4,1
FeaSel-Net,4,1
ArcGIS,4,2
Raspberry Pi,4,2
GeneXpert,4,1
InChIKey,4,1
vtkContourFilter,4,1
JAVA,4,1
Bocop,4,1
NSGA,4,1
CellProfiler,4,1
Guppy,4,1
HMMscan,4,1
PySeg,4,1
ctffind4,4,1
Aivia,4,1
SimVascular,3,1
Kymatio,3,1
FastME,3,2
RawECG,3,1
AtomNet,3,1
Omnic,3,2
Geneious,3,1
X!Tandem,3,1
VitisExplorer,3,1
RecoBundles,3,2
AgMIP,3,2
EpiFire,3,2
seaborn,3,1
VEGAN R,3,1
Modeller,3,1
PyMOL,3,1
CHARMM-GUI,3,1
fDKDE,3,1
Peptides,3,1
SerialEM,3,1
Imod,3,1
species niche hypervolume,3,1
figshare,3,1
Comprehensive Data Analysis,3,2
3D Slicer,3,1
mgcv,3,1
NeuroMorpho,3,1
AudioSculpt,3,1
REDD+,3,2
SOFI Simulation Tool,3,1
Prolific,3,1
shells,3,2
XBSeq,3,1
FEELnc,3,1
Graphical User Interface (GUI),3,1
Materials Studio,3,1
Myo,3,2
ResFinder,3,1
Gephi,3,1
Grafter,3,1
Odroid XU4,3,1
Pupil Labs,3,1
CARD,3,1
ANTS,3,1
OpenCV,3,1
UpResBlocks,3,1
SnakeCLEF,3,2
TrackMate,3,1
Julia,3,2
SLiMgui,3,1
app,3,1
BlueNaaS,3,1
Docker,3,1
pyslim,3,1
ClustalW,3,1
QMEAN,3,1
DMU,3,1
Nurea,3,2
Google Street View,3,2
MicroScope,3,1
owlinone,3,2
TILES Audio Recorder,3,1
PlasFlow,3,1
topGO,3,1
BMIXED,3,1
Neurolang,3,1
NUMPY,3,1
PhageTerm,3,2
BIOFORMATS,3,1
SCIPY,3,1
Diva,3,1
ClearVolume,3,1
ct,3,2
Protégé,3,1
WGA,3,1
GenomeMatch2,3,1
SelectKBest,3,1
Nucmer,3,1
MUSCLE,3,1
Trimmomatic,3,1
Winnowmap,3,1
Wings,3,1
DeepESNs,3,1
Numpy,3,3
SimpleITK,3,1
for Small Object,3,1
CPLEX,3,2
https,3,1
mmseqs,3,1
BubbleAntiCovid,3,2
BIGDATAVIEWER,3,1
BadReads,3,1
MOABB,3,1
ssNA,3,1
SmartCrisis,3,2
iCAPs,3,1
Microchip Studio,3,1
BrumiR2,3,1
matplotlib,3,1
scikit-learn package,3,1
BDSKY,3,1
bedtools,3,2
excel,3,1
Bandage,3,1
DataAxiom,3,1
AFC toolbox,3,2
MIAT,3,1
Kalasanty,3,1
AutoDock,3,1
BayesRCO,3,1
JASPAR,3,1
UCSC Genome browser,3,1
DSSR,3,1
py,3,1
MoMA-LoopSampler,3,2
PLINK,3,1
-Ranker,3,1
BLASTx,2,1
sdnet,2,2
cryoCARE,2,1
daemon,2,1
NETICA,2,1
MassChroQ,2,2
GeneGeneInteractions,2,2
Leaspy,2,2
Minitab,2,1
fminsearch,2,1
BioRender,2,2
Axtell,2,1
fastp,2,1
AutoDock Vina,2,1
BioTuring,2,1
preprocessCore,2,1
SmartOpenData,2,1
OpenSilex,2,1
emClarity,2,1
nnUnet,2,1
CORASON,2,2
wgsim,2,1
ATTRACT aareduce.py,2,1
Shiny Server,2,1
TreeSim,2,1
U-Net++,2,2
Picture Archiving and Communication System (,2,1
VCFHunter,2,1
TraceAncestor,2,1
TA toolbox,2,1
Google Colaboratory,2,2
polyply gen_coords,2,1
pypi,2,1
FATCAT,2,2
Qualisys Track Manager,2,1
Umap,2,2
GPGPU,2,1
Flask,2,1
ROS Gazebo,2,1
Cytogenomics,2,1
Windows,2,1
MetaSpark,2,1
CloudBurst,2,1
HTCondor,2,1
VariantSpark,2,1
Sparkhit,2,1
CAFE,2,1
Halvade,2,1
Snakefiles,2,1
TargetP,2,2
ProteinPathTracker,2,1
DVtoZeiss.py,2,1
DvtoZeiss.py,2,1
SEQAN,2,2
BlueTrace,2,1
IMAGEJ2,2,1
APEER,2,1
MATLAB,2,1
scikit-image,2,1
MICROSCOPY IMAGE BROWSER,2,1
Nobrainer,2,1
MedMNIST,2,1
Tensorboard,2,1
OpenNeuro,2,1
tsvtool,2,1
mafft-linsi,2,1
STAR,2,1
hhalign,2,1
macsyfinder,2,1
HMMer,2,1
AcCNET,2,1
Clustal,2,1
PDBePISA,2,1
JENA,2,1
MDTraj,2,1
hyperopt,2,1
seqtk,2,1
BWA-MEM,2,1
Freebayes,2,1
BiNoM,2,1
ggplot2,2,1
OSCA,2,1
MrBayes,2,1
SelectkBest,2,2
Protein Ensemble,2,1
tidyverse,2,1
vtkGPUVolumeRayCastMapper,2,1
SQLite,2,1
TranscriptionWorkflow,2,1
Ambertools,2,1
Mafft,2,1
software,2,1
vLUME,2,1
SplitsTree,2,1
MobileNet,2,2
rG4-seeker,2,1
EcceTERA,2,2
Phyldog,2,1
3D SLICER,2,1
BIGSTITCHER,2,1
ELASTIX,2,1
ILASTIK,2,1
GROOVY,2,1
BLENDER,2,1
CellPose,2,1
ITK SNAP,2,1
MUST toolbox,2,1
wall,2,1
Easyfig,2,1
Chromas,2,1
Platt Scaling,2,1
QGIS,2,1
egnep,2,1
Nilearn,2,1
NeuroSynth,2,1
sigmaGivenSubjects,2,1
ProbMap,2,1
mafft,2,1
AbySS,2,1
HyPhy,2,1
MCMCTree,2,2
aBSREL,2,1
Application Programming Interface (API),2,2
CRISPRCasFinder,2,1
PlasClass,2,1
OpenSMILE,2,1
Megahit,2,1
AUSCAN,2,2
BrainVision,2,1
PlasPredict,2,2
pytorch,2,1
Charmm,2,1
LAMMPS,2,1
PHYRE 2,2,1
ViromeQC,2,1
Prodigal,2,1
Pymm,2,1
Dartel,2,1
hMRI toolbox,2,1
FeatureImpCluster,2,1
IMOD,2,2
Matlabâ,2,1
DockerHub,2,2
Teranga,2,1
TXSScan,2,1
Blast,2,1
Scripts,2,2
MathNum,2,1
CON-Jscan,2,1
Conda,2,1
DeepSynth,2,1
SimBac,2,1
spaMM,2,2
RandomForest,2,1
openSMILE,2,2
Selenzyme,2,2
pHierCC,2,1
Neo,2,1
gdalinfo,2,2
Generic Mapping Tools (GMT),2,1
BioImageIT,2,1
ViSP,2,1
TrackPy,2,1
BASWebServices,2,2
ITK-SNAP,2,1
BioMart,2,2
NetworkRegion,2,1
RegionVoxel,2,1
TopicAssociation,2,1
Nvidia,2,1
AMRFinderPlus,2,1
ARG-ANNOT,2,1
ParaView,2,1
igraph,2,2
Millenium 32,2,1
EchoPAC,2,1
MiSeq,2,2
Eman2,2,1
Blender,2,1
MAXDO,2,1
Apache,2,2
GEDCOM,2,1
Illustrator,2,1
DevRate,2,2
MolProbity,2,1
EMFit,2,1
NeuroMorpho.Org,2,1
smallRNA-seq,2,1
Matlab,2,1
NanoJ,2,1
VIRULIGN,2,1
GeNePy3D,2,1
Artiatomi,2,1
Alpha,2,2
AQUAPONY,2,1
Eman,2,1
DeepFinder,2,1
RNAfold,2,1
AquaDesign,2,1
FILTER#3,2,1
Zenodo,2,1
SYFPEITHI,2,1
NERVE,2,1
MoWPP,2,1
Gargantext,2,2
Cutadapt,2,1
SAMtools,2,1
BLASTP,2,1
RATTLE,2,2
YASARA,2,2
Autodock Vina,2,1
OpenStreetMap,2,1
QIIME2,2,2
Snippy,2,1
RAxML-NG,2,1
OpenAlea,2,1
HEMNMA-3D,2,2
CAMELYON,2,1
INTBuilder,2,1
Deep Local Analysis,2,1
VHX Analyzer,2,1
HydroPro,2,2
CIDER,2,1
Cluster of Scientific Computing,2,1
BrumiR-core,2,1
Anima toolbox,2,1
Tensorlab,2,2
MATLAB Toolbox,2,1
X!TandemPipeline,2,1
psRNATarget,2,1
Titan,2,1
treesimulator,2,1
Data Availability Explorer,2,2
EvoGraphDice,2,3
ScentTree,2,2
VirFinder,2,1
bayesR,2,1
MACS2,2,1
PAPPSO,2,2
Singularity,2,1
peakMerge,2,1
PyGraphviz,2,1
Matplotlib,2,1
GitLab,2,1
Praat,2,1
tf.keras API,1,1
MITK-GEM,1,2
PyPi,1,2
h5py,1,1
joblib,1,1
PhyloDeep package,1,1
Snakemake pipeline,1,1
ete3,1,1
PyDOE,1,1
ATTRACT suite,1,1
RMarkdown,1,1
MiRD-eep2,1,1
BrumiR2ref,1,1
-PREFeR,1,1
edlib,1,1
bpRNA,1,1
MiR-PREFeR,1,1
BrumiR-RF,1,1
QBlast,1,1
Affinity Designer,1,1
VMD. PYMOL,1,2
IDRIS,1,1
PYMOL,1,1
tcl,1,1
NRDB,1,1
MEGA5,1,1
Bio3D,1,1
NRDB.pl,1,1
Bioturing,1,1
Ingenuity Pathway Analysis,1,1
pyMCR,1,1
AntsPy,1,1
Skyscan CTan,1,1
scipion-em-emantomo,1,1
scipion-em-reliontomo,1,1
Xmipp Dataviewer,1,1
randomForest,1,2
randomForestExplainer,1,1
EdgeR,1,2
tuneMtryFast,1,1
IPython,1,1
GROMACScompatible,1,1
Voro++,1,1
RA-map,1,1
Google Guava,1,1
PostGIS,1,1
MapQuery,1,1
DLM_script,1,2
dlmModReg,1,1
dlmMLE,1,1
dlmSmooth,1,1
PLAYREC,1,1
BAGAP,1,1
MAnagement EXpert,1,1
INRAtion,1,1
Ontop,1,1
Elasticsearch,1,1
DeepSHAP,1,2
Saliency,1,1
TitanX,1,1
ReadTheDocs,1,1
DBOW,1,1
GloVe,1,1
Gensim,1,1
Brain-VISA/Morphologist,1,1
Bowtie 2,1,1
RESTful API,1,1
NCBI genome browsers,1,1
Atmega328-AU,1,1
TumorGAN,1,2
nosoi,1,1
geiger,1,1
phytools,1,1
GillespieSSA,1,1
epimdr,1,1
PLNmodels,1,2
OpenPtrack,1,1
MouseTracker,1,1
Research System,1,1
SyncPy,1,1
JASP,1,2
Group Maker,1,1
ArbWave Toolbox,1,2
ZigBee-Pro,1,2
FPocket,1,1
DeepSite,1,1
ANAlyser,1,1
Q-SiteFinder,1,1
FEATURE,1,1
Open-Source,1,2
IntraFace,1,1
Zface,1,1
Photoshop,1,2
Color Navigator,1,1
Spyder,1,1
Sigmaplot,1,1
SPARCOM (,1,1
adpativetau,1,1
TiPS package,1,1
rcolgem,1,1
MS-GF+,1,1
Mascot Distiller,1,1
TrimGalore,1,1
MS-GF,1,1
GNU datamash,1,1
Pangolin,1,1
SPLIT-STREE,1,1
IQ-TREE ModelFinder,1,1
SimAdapt,1,1
CDMetaPOP,1,1
MapInfo,1,2
U-net DCNN,1,2
GenSSi toolbox,1,2
GenSSI,1,1
Flax,1,2
Roboflow,1,1
Boldface,1,1
BayesRCO (BayesRC for Overlapping,1,1
GTiBLUP,1,1
BayesRCO (,1,1
MKL routines,1,2
ASTRA,1,2
VG Studio MAX,1,1
MetaIbasam,1,1
VGG Image Annotator,1,1
StimMod,1,1
MarkoViews,1,1
StimType,1,1
Prolog,1,1
BioNJ,1,1
-Jscan,1,1
FimiData,1,1
JAX,1,1
mmDetection,1,1
Anaconda,1,1
Paperspace.com,1,1
RMSProp,1,1
TANGO,1,1
webKnossos,1,1
SP-CNN,1,1
Gunpowder,1,1
3D-bat,1,1
Medical Imaging Interaction Toolkit,1,1
Google Drive,1,1
Google AutoML Vision,1,1
Bioimage.io,1,1
Nvidia Clara Imaging,1,1
CSBDeep toolbox,1,1
DeepImageJ,1,1
torchvision,1,1
TensorFlow Hub,1,1
fastai,1,1
NucleAIzer,1,1
4Mic,1,1
Azure,1,1
Project InnerEye,1,1
AllMaps,1,1
PostGresSQL,1,1
SoloFinder,1,1
Instrumen-tRecogniser,1,1
Pat-ternSimilarityWorkflow,1,1
phyluce,1,1
MAKER,1,1
Tracer,1,1
LabelImg,1,1
cufiNUFFT,1,2
NETSoins,1,2
HPSTM,1,1
Physiolibrary,1,1
Propag,1,2
EuGène,1,2
TEannot,1,1
Warming Attribution Calculator,1,2
NucleusJ,1,1
VIA,1,1
U-Net,1,1
KiNet,1,1
OpenMMLab,1,1
DeepImageJ ImageJ,1,1
NucleiDetection,1,1
CD-Search,1,1
Bash,1,1
Clustal Omega,1,1
SPARCLE,1,1
BMGE,1,1
Conjscan,1,1
SeaView,1,1
MOBscan,1,1
PuLP library,1,1
lcmm,1,2
PHYLIP,1,1
Napari,1,2
llsmtools,1,1
ConfocalVR,1,1
syGlass,1,1
ColabFold,1,1
FRAGSTATS,1,1
nls,1,2
AiCE 12,1,1
SuRVos,1,2
FastER,1,1
Microscopy Image Browser,1,1
Insight Toolkit,1,1
MEtabolic Regulation Rule Inference (MERRIN),1,2
EGN-EP,1,1
nucleotide Blast,1,1
NCBI-BLASTX,1,1
FuzzyLite,1,1
Operating System,1,1
Google Earth Engine,1,2
adehabitatHR,1,1
Google Earth Pro,1,1
MAKER2,1,1
Spruceup,1,1
ncbi-blast,1,1
RepeatMasker,1,1
snap,1,1
Brainmap,1,1
egnep ),1,1
CANU ),1,1
PyRiemann,1,1
Ocaml,1,2
PatternSimilarityWorkflow,1,1
MuMIn,1,1
MOSAIC GU T,1,1
-predict,1,1
StAtistical,1,1
PieMan,1,1
OrthoFinder,1,1
OPFython,1,2
bioconda,1,2
ProLanGO,1,1
MPRA-DragoNN,1,1
DeepMind,1,1
miPIE,1,1
pyRiemann,1,2
Generalized Born,1,1
GB,1,1
pmemd,1,1
gauss-ian,1,1
ProCheck,1,1
pmemd.CUDA,1,1
tBLASTn,1,1
MMPBSA.py,1,1
PAIRWISE2.ALIGN.GLOBALXX,1,1
Pubmed,1,2
MUST Matlab,1,1
Ubuntu,1,1
Windows 7,1,2
lme,1,1
GEMMA,1,2
4qtl,1,1
CloudBLAST,1,1
CloudSW,1,1
IDL (Interactive Data Language),1,2
DICOMDIR,1,1
Max/MSP software,1,2
PyPI,1,1
Xubuntu,1,1
Visualized Molecular Dynamics (,1,1
DAGMan,1,1
GridWay,1,1
Package (SAP),1,1
Hadoop YARN,1,1
SparkSW,1,1
Knime Server,1,1
CloudTSS,1,1
SEQSpark,1,1
interactive map dashboard,1,1
r-Leaflet,1,1
Open Source Routing Machine Application Programming Interface -OSRM API-),1,1
Met-aSpark,1,1
Hi-WAY,1,1
DistMap,1,1
SparkBlast,1,1
BioPig,1,1
Semantic Scholar,1,1
DigitalExpression pipeline,1,1
Drop-seq toolkit,1,1
TagBamWithReadSequenceExtended,1,1
TagReadWithGeneExon,1,1
bcl2fastq software,1,1
Plot_AllTraj_FrameSlide,1,1
dAPE,1,1
BIG-FISH pipeline,1,1
ViraMiner,1,1
DIAMOND,1,1
statgenHTP,1,1
ASReml-R,1,1
nlme,1,1
lme4,1,1
MIXED,1,1
METABOANALYST,1,1
3OMICS,1,1
Alphafold2,1,1
ParaFold,1,1
PISA,1,1
DypFISH,1,1
FISH-Quant,1,1
Blink,1,1
ClipKIT,1,1
kClust,1,1
phangorn packages,1,1
seaborn package,1,1
sns.ecdfplot(,1,1
ModelFinder Plus,1,1
Google Maps,1,2
METEXPLORE,1,1
ProPka,1,1
AWS,1,2
GenOuest,1,1
MySQL,1,1
Zotero,1,2
metafor,1,1
HH-suite,1,1
PlasmidFinder,1,1
NeuroMorpho.org,1,1
GROBID ),1,1
polyply gen_params,1,1
FILTER#5,1,1
stringr,1,1
short-BLASTp,1,1
Premiere Pro,1,2
PetSurfer,1,1
SeeVis,1,1
maptrack,1,1
Cell Tracking Profiler,1,1
Napari viewer,1,1
u-track,1,1
btrack,1,1
JPlex,1,1
Kepler-Mapper,1,1
HMAD R,1,1
Google Speech Cloud,1,1
UnityMol,1,1
PointCloud XR,1,1
DIVA-cloud,1,1
ipyvolume,1,1
sphinx,1,1
SSegDetector,1,1
RTrees,1,1
OpenCV library,1,1
MorphoMuseum,1,2
AmiraZIBEdition,1,1
Natural Language Toolkit (NLTK),1,2
volBrain pipeline,1,1
FeatureExtraction,1,1
Lab Streaming Layer (LSL),1,1
Visual3D,1,2
OpenGL,1,1
G*Power,1,1
NQuery,1,1
Access,1,2
VMDpython,1,1
Inkscape,1,1
polyply software suite,1,1
Keras Applications API,1,1
LabelMe,1,1
App Store,1,2
Play Store,1,1
MUSE,1,1
Auditory Modelling Toolbox (AMT),1,2
Auditory Modelling Toolbox,1,1
UR EAR toolbox,1,1
ISIBrno-AIMT,1,2
Kymatio scattering,1,1
Tigramite,1,2
SPLOM-Tool,1,1
GMapping,1,1
DeepRL,1,1
Mobilise-D,1,2
t-SNE,1,1
lmfit,1,2
QIAGEN CLC Genomics Workbench,1,1
BlueNaas,1,1
limma,1,2
R survival,1,1
survminer,1,1
Deformetrica,1,2
Vascular Modeling ToolKit,1,1
Bing,1,1
FqCleanER,1,2
MEGA X 45,1,1
ORFfinder,1,1
GNU,1,1
GGPLOT2,1,1
JMP,1,1
DESEQ2,1,1
D3JS library,1,1
ChromPlot,1,1
ChromDraw,1,1
karyoploteR,1,1
RIdeogram,1,1
GeMo Interface,1,1
Pl@ntNet,1,1
gbif-dl,1,1
PhaseTool,1,2
MRview,1,1
A4D-fMRI,1,1
FMRIB Software Library (FSL ),1,1
Scanner for Understanding MRI (POSSUM ),1,1
FSL library,1,1
NodeJS,1,1
Bootstrap library,1,1
Networkx,1,1
vermouth,1,1
symfit,1,1
polypy,1,1
PyPolyBuilder,1,1
polyply library,1,1
Predictor,1,1
SmartMesh,1,1
FreeSASA,1,1
ccptraj,1,1
T-Coffee,1,1
SigmaPlot,1,2
SigmanStat,1,1
MaOEA,1,1
Gromacs,1,1
PyEMMA,1,1
BuildQSAR,1,1
Clustal X,1,1
Hyperchem,1,1
Gaussian,1,1
BINANA,1,1
ssGB-LUP,1,1
Segnet,1,1
Rcpp package,1,1
scikit-bio,1,1
PREVIMAT,1,1
CLUSTAL X,1,2
Molecular Evolutionary Genetic Analysis (MEGA),1,1
Basic Local Alignment Search Tool (BLAST),1,1
MEMBPLUGIN,1,1
UCSF Chimera,1,1
AutoDockTools,1,1
GUNIFRAC,1,1
PreAssembler Filter,1,2
FiJi,1,1
Phenoplant,1,1
FactoMineR,1,1
factoMiner,1,1
colormath,1,1
Owlready2,1,1
OpenMole,1,1
A d a,1,1
rvgrid,1,1
Sniffles,1,1
AHRD pipeline,1,1
Tensor Flow,1,1
LeakyReLU,1,1
GenePix Pro,1,1
Cobra Toolbox,1,1
growAdult,1,1
linux,1,1
windows,1,1
apache ivy,1,1
MacOS,1,1
Junit,1,1
math,1,1
Samtools,1,1
UMItools,1,1
idxstats,1,1
JMP statistical,1,1
ANTs Library,1,1
fsleyes,1,1
ModelSeed,1,2
RAVEN Toolbox,1,1
PICARD,1,2
SNP & Variation Suite,1,1
CFX Maestro,1,1
HOMER,1,1
RStudio,1,1
bowtie2,1,1
BLASTX,1,1
Elastix,1,1
SciPy library,1,1
EEGExtract,1,1
sci-kit learn library,1,1
sci-kit,1,1
bioLQM,1,1
CoLoMoTo,1,1
dplyr,1,1
readr,1,1
Brain-Map,1,1
PeakReported,1,1
NiMare,1,1
ProbLog2,1,1
CP-Logic,1,1
CRYSOL,1,1
ATSAS,1,1
TALOS-N,1,1
BEDTools,1,1
Integrative Genomics Viewer,1,1
MedCalc,1,1
Ledalab,1,1
pupil Labs,1,1
Rweka,1,1
Nano,1,1
VoxelReported,1,1
GE Healthcare EchoPAC,1,1
Hierarchical Data Format,1,1
EchoPAC clinical software package,1,1
pgcrypto,1,1
PPanGGOLiN,1,1
IntegronFinder,1,1
ISEScan,1,1
Unicycler,1,1
bcftools,1,1
MEGA,1,1
Juicebox Assembly Tools,1,1
pcaExplorer,1,1
ITK,1,1
vtkVolumeRayCastMapper,1,1
vtkFixedPointVol-umeRayCastMapper,1,1
vtkVolumeR-ayCastMapper,1,1
Cytoscape,1,1
PyPI (,1,1
cadbiom-cmd,1,1
